date,open,high,low,close,volume
2014-11-25,42.5987,42.8758,42.4110,42.4289,28007993
2014-11-26,42.4467,42.8936,42.2590,42.6791,27164877
2014-11-28,42.8579,43.0769,42.5540,42.7328,21534426
2014-12-01,42.7953,43.5997,42.6434,43.4567,31191575
2014-12-02,43.6534,43.8411,43.0813,43.3137,25773478
2014-12-03,43.2958,43.3495,42.7283,42.9741,23534752
2014-12-04,43.2512,43.8500,43.0813,43.6534,30345132
2014-12-05,43.6355,43.7696,43.2422,43.2780,27313449
2014-12-08,43.1350,43.2154,42.4065,42.6300,26663107
2014-12-09,42.1071,42.8311,42.0535,42.5361,24330506
2014-12-10,42.5272,42.5987,41.7407,41.9194,30431788
2014-12-11,42.0803,42.6702,41.7228,42.1607,29061918
2014-12-12,41.8121,42.6612,41.7138,41.9641,34248371
2014-12-15,42.1875,42.6076,41.6066,41.7138,29247761
2014-12-16,41.0256,41.4189,40.3374,40.3642,47801392
2014-12-17,40.2659,41.0658,40.1318,40.8826,34970865
2014-12-18,41.6334,42.4735,41.4176,42.4735,40105550
2014-12-19,42.5719,42.9920,42.1607,42.5987,64551182
2014-12-22,42.7059,43.0098,42.6434,42.8847,26565984
2014-12-23,43.2333,43.6176,43.0188,43.3048,23656529
2014-12-24,43.4746,43.4746,42.9741,43.0277,11442790
2014-12-26,43.2690,43.2690,42.7417,42.7953,13197817
2014-12-29,42.6344,42.7059,42.2412,42.4110,14439518
2014-12-30,42.4020,42.5629,41.8658,42.0266,16384692
2014-12-31,41.7674,42.4020,41.5172,41.5172,21552450
2015-01-02,41.7049,42.3842,41.5976,41.7943,27913852
2015-01-05,41.4457,41.7674,41.3384,41.4055,39673865
2015-01-06,41.4546,41.7844,40.7038,40.8021,36447854
2015-01-07,41.0971,41.5261,40.6591,41.3205,29114061
2015-01-08,41.7853,42.6790,41.7585,42.5361,29645202
2015-01-09,42.5540,42.7417,41.9194,42.1786,23715642
2015-01-12,42.3842,42.4914,41.4367,41.6512,23651887
2015-01-13,41.9820,42.8221,41.1686,41.4323,35270601
2015-01-14,41.0792,41.3295,40.7753,41.0747,29719580
2015-01-15,41.3116,41.4546,40.5876,40.6502,32750779
2015-01-16,40.4982,41.3652,40.3731,41.3295,35695289
2015-01-20,41.3831,41.6959,40.7306,41.4636,36161860
2015-01-21,41.0613,41.2401,40.6502,41.0435,39081143
2015-01-22,41.4546,42.1294,41.1865,42.1250,35898035
2015-01-23,42.3305,42.3574,41.8300,42.1697,26211594
2015-01-26,42.0088,42.1285,41.3294,42.0177,42525530
2015-01-27,38.3889,38.6123,37.6336,38.1297,169163953
2015-01-28,38.2012,38.2459,36.7890,36.8158,84507078
2015-01-29,36.5834,37.6470,36.4583,37.5487,63585273
2015-01-30,37.1375,37.1644,36.0650,36.1097,78004944
2015-02-02,36.2795,36.9767,35.9577,36.8962,50352532
2015-02-03,37.2090,37.4772,36.6862,37.1822,52082448
2015-02-04,37.4861,37.7275,36.9677,37.3967,41614812
2015-02-05,37.7364,38.1118,37.4102,37.9420,36548168
2015-02-06,38.1475,38.2459,37.6738,37.9062,34616554
2015-02-09,37.7543,38.2012,37.7275,37.8615,31381061
2015-02-10,38.2012,38.2280,37.7006,38.0760,29670676
2015-02-11,38.1207,38.1207,37.7275,37.8794,38262509
2015-02-12,38.1297,38.5140,37.9956,38.5140,33268831
2015-02-13,38.7732,39.2112,38.5676,39.2112,40264887
2015-02-17,39.5801,39.6071,38.8780,39.2290,33695749
2015-02-18,39.2740,39.3371,39.0580,39.1840,27111657
2015-02-19,38.8690,39.1807,38.7520,39.1570,27603420
2015-02-20,39.1660,39.4991,38.9680,39.4766,29721133
2015-02-23,39.3371,39.7781,39.2921,39.7421,32518754
2015-02-24,39.7421,39.8772,39.5351,39.6881,25271747
